ITEMS,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE ,URL,OTHER INFO
4x6cm Perf Board,Perf Board (PCB),1,$1,$1,https://robu.in/product/5-x-7-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch?gclid=CjwKCAjwqubPBhBOEiwAzgZX2lUW0DoKI3JWsxiieJ6kYAbqxbVb95gc5hiX0cCQJ3HoSqEjOrxX4xoCmdQQAvD_BwE&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeNaiDRmvN9UWzkS1_QoRGMK&gad_source=1,
Pin Headers (2 Pin),Pin Headers,30,$0.03,$1,https://robu.in/product/ph1-0-01-02pzd-xunpu-plugin1x2-pin-1mm-pin-headers-rohs/,
Pin Headers (3 Pin),Pin Headers,10,$0.03,$1,https://robu.in/product/ph1-27-01-03pzd-xunpu-plugin1x3-pin-1-27mm-pin-headers-rohs/,
Jumper Wires (20 cm),Jumper Wires,1,$0.46,$0.46,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm/,
18AWG (RED),Wires,1,$0.34,$0.34,https://robu.in/product/18awg-high-voltage-silicone-wire-3000v-red/,
18AWG (BLACK),Wires,1,$0.34,$0.34,https://robu.in/product/18awg-high-voltage-silicone-wire-3000v-black/,
20AWG (RED),Wires,2,$0.16,$0.32,https://robu.in/product/ul1007-20awg-pvc-electronic-wire-red/,
20AWG (BLACK),Wires,2,$0.16,$0.32,https://robu.in/product/ul1007-20awg-pvc-electronic-wire-black/,
22AWG (RED),Wires,2,$0.16,$0.32,https://robu.in/product/22awg-silicone-braided-wire-red/,
22AWG (BLACK),Wires,2,$0.16,$0.32,https://robu.in/product/22awg-silicone-braided-wire-black/,
26AWG (RED),Wires,2,$0.08,$0.16,https://robu.in/product/high-quality-ultra-flexible-26awg-silicone-wire-1000m-red/,
26AWG (BLACK),Wires,2,$0.08,$0.16,https://robu.in/product/ul1007-26awg-pvc-electronic-wire-black/,
Wire Stripper,Wire Stripper,1,$2.55,$2.55,https://robu.in/product/multitec-02dx-self-adjusting-wire-cutter-stripper/,
Helping Hands,Helping Hands,1,$9.40,$9.40,https://www.amazon.in/gp/product/B0DFQ6G523/ref=ewc_pr_img_1?smid=A3T8K809Q96RB6&psc=1,
Solder Wick,Solder Wick,1,$0.70,$0.70,https://robu.in/product/best-quality-solder-desoldering-wire-de-soldering-wick/,
,,,,,,
,,,,,,
,,,,,,
,,,TOTAL -,$156.23,,
,,,TOTAL (incl Shipping) - ,$180,,
